,Unnamed: 0,Genero,NivelEstudios,TipoContratacion,TipoPersonal,TipoJornada,Rotacion,ExperienciaActual,Categoria_Num,Verd_Fals
20656,20681,0,2,3,1,3,1,7,1,True
3048,3073,1,9,5,1,3,2,8,1,True
17992,18017,1,7,5,1,2,2,8,1,True
12256,12281,1,4,4,1,3,1,7,0,False
12904,12929,1,7,5,2,3,2,8,1,True
19014,19039,1,5,5,1,2,1,2,1,True
14438,14463,0,9,5,2,3,2,8,1,True
8809,8834,1,7,5,1,3,2,8,1,True
18228,18253,1,7,5,1,2,1,6,1,True
10737,10762,0,5,5,3,3,1,8,0,False
6856,6881,1,8,5,1,2,1,8,1,True
7633,7658,1,9,5,3,3,2,5,1,True
20033,20058,1,8,5,1,2,1,7,1,True
3083,3108,0,9,5,3,3,2,5,1,True
10155,10180,0,9,5,2,3,2,6,0,False
9914,9939,1,9,2,2,3,2,2,1,True
20566,20591,1,8,2,3,2,1,4,1,True
13483,13508,0,7,5,3,3,2,5,1,True
16825,16850,0,8,5,2,3,2,4,0,False
8696,8721,0,9,5,2,3,2,7,1,True
4789,4814,1,7,5,1,2,1,8,1,True
4292,4317,0,4,5,3,3,2,8,1,True
1325,1350,0,9,2,1,2,1,8,1,True
18179,18204,1,9,5,3,3,2,8,1,True
18154,18179,1,7,5,1,2,1,8,1,True
16518,16543,1,9,5,3,3,2,8,1,True
15966,15991,1,6,5,1,2,2,5,1,True
9041,9066,0,9,5,2,3,2,8,1,True
16229,16254,0,9,5,2,3,2,8,0,False
15834,15859,1,5,5,2,3,2,8,1,True
18503,18528,0,9,5,2,3,2,8,1,True
9605,9630,1,2,5,1,1,2,4,1,True
16685,16710,1,5,5,2,3,2,8,1,True
17807,17832,1,9,5,3,2,2,8,1,True
15359,15384,1,8,5,2,3,2,8,1,True
16901,16926,1,8,5,2,3,2,4,1,True
17233,17258,1,8,5,3,3,2,8,0,False
5611,5636,1,9,5,3,3,2,8,0,False
534,559,1,4,4,1,3,1,7,1,True
8763,8788,1,9,5,2,3,2,7,1,True
2952,2977,1,9,5,3,3,2,8,0,False
21097,21122,0,7,5,2,3,2,7,1,True
10550,10575,1,5,5,3,3,2,5,1,True
3999,4024,0,4,4,1,3,1,7,1,True
